Time,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,SdkRequest,ResponseRead
2021-12-29 09:59:37:7921879 PM,43.3217,,,,0.0154,0.019,44.5769,0.0459
2021-12-29 09:59:37:8694433 PM,35.7162,,,,0.0176,0.0189,37.0792,0.0301
2021-12-29 09:59:37:9481320 PM,33.54,,,,0.0154,0.0223,36.5169,0.0345
2021-12-29 09:59:38:0237659 PM,35.9367,,,,0.0175,0.0287,37.4252,0.0326
2021-12-29 09:59:38:1163231 PM,32.7665,,,,0.0157,0.022,61.4524,0.0352
2021-12-29 09:59:38:1948090 PM,32.7952,,,,0.0158,0.0201,35.7936,0.0331
2021-12-29 09:59:38:2747811 PM,34.9037,,,,0.0159,0.0224,36.1473,0.032
2021-12-29 09:59:38:3516728 PM,35.9631,,,,0.0144,0.032,38.692,0.0334
2021-12-29 09:59:38:4306276 PM,35.4209,,,,0.0178,0.0211,38.6196,0.0294
2021-12-29 09:59:38:5048269 PM,38.5063,,,,0.0156,0.0479,39.7411,0.0324
2021-12-29 09:59:38:6000769 PM,41.8541,,,,0.0176,0.0258,43.482,0.0469
2021-12-29 09:59:38:6770991 PM,35.4045,,,,0.0359,0.0242,37.5414,0.0356
2021-12-29 09:59:38:7522142 PM,38.088,,,,0.0155,0.045,40.0929,0.1144
2021-12-29 09:59:38:8297466 PM,40.7087,,,,0.0223,0.0452,42.1344,0.111
2021-12-29 09:59:38:9062558 PM,38.2333,,,,0.0174,0.025,39.7936,0.0522
2021-12-29 09:59:38:9853224 PM,33.9306,,,,0.0163,0.0326,35.6911,0.0596
2021-12-29 09:59:39:0645111 PM,37.6899,,,,0.0171,0.0234,39.1476,0.0345
2021-12-29 09:59:39:1596773 PM,58.1388,,,,0.0164,0.0298,59.7373,0.0353
2021-12-29 09:59:39:2523523 PM,36.1065,,,,0.0295,0.0246,41.1161,0.0549
2021-12-29 09:59:39:3429261 PM,39.1648,,,,0.0269,0.0369,40.7061,0.0408
2021-12-29 09:59:39:4202827 PM,36.4883,,,,0.0145,0.0198,37.5784,0.0325
2021-12-29 09:59:39:5007743 PM,38.3892,,,,0.0176,0.0187,39.6506,0.0338
2021-12-29 09:59:39:5769576 PM,34.5394,,,,0.0179,0.029,35.9057,0.0365
2021-12-29 09:59:39:6661189 PM,39.7463,,,,0.0312,0.0292,41.3554,0.0346
2021-12-29 09:59:39:7425682 PM,41.0713,,,,0.0164,0.0186,42.6514,0.032
2021-12-29 09:59:39:8206112 PM,36.5127,,,,0.0141,0.0179,37.7641,0.0284
2021-12-29 09:59:39:9009605 PM,35.2675,,,,0.0144,0.0185,36.6361,0.0278
2021-12-29 09:59:39:9732786 PM,34.8155,,,,0.0239,0.0198,38.8007,0.0287
2021-12-29 09:59:40:0513021 PM,40.9237,,,,0.0135,0.0184,42.1135,0.029
2021-12-29 09:59:40:1579472 PM,44.2263,,,,0.0165,0.034,76.6249,0.0431
2021-12-29 09:59:40:2355467 PM,36.0113,,,,0.0169,0.018,37.145,0.0277
2021-12-29 09:59:40:3127291 PM,36.8268,,,,0.0167,0.0779,38.9292,0.1358
2021-12-29 09:59:40:3927223 PM,38.3312,,,,0.0168,0.0235,40.3052,0.0335
2021-12-29 09:59:40:4682589 PM,37.7163,,,,0.0137,0.0255,38.6819,0.0414
2021-12-29 09:59:40:5465027 PM,41.0191,,,,0.0156,0.0333,44.8799,0.0416
2021-12-29 09:59:40:6259069 PM,36.4224,,,,0.0137,0.0263,37.5752,0.0332
2021-12-29 09:59:40:7361937 PM,50.7416,,,,0.0143,0.0179,80.0986,0.027
2021-12-29 09:59:40:8444669 PM,35.0377,,,,0.0143,0.0203,66.6486,0.0632
2021-12-29 09:59:40:9209779 PM,36.4766,,,,0.0147,0.0214,37.6507,0.0318
2021-12-29 09:59:40:9974128 PM,37.6059,,,,0.0163,0.0429,38.9577,0.0474
2021-12-29 09:59:41:0764792 PM,35.9779,,,,0.0177,0.0227,37.2735,0.0549
2021-12-29 09:59:41:1563863 PM,36.4513,,,,0.0159,0.0211,37.7011,0.0315
2021-12-29 09:59:41:2305742 PM,37.3338,,,,0.0143,0.0227,40.3114,0.0407
2021-12-29 09:59:41:3109303 PM,36.9456,,,,0.0199,0.0408,39.2646,0.1022
2021-12-29 09:59:41:3897794 PM,33.87,,,,0.0146,0.0207,35.222,0.0352
2021-12-29 09:59:41:4675703 PM,33.5856,,,,0.0195,0.0181,36.4711,0.0303
2021-12-29 09:59:41:5435316 PM,36.2203,,,,0.0227,0.0183,37.5872,0.0276
2021-12-29 09:59:41:6201904 PM,35.0829,,,,0.0132,0.0235,36.1133,0.029
2021-12-29 09:59:41:7159402 PM,32.9458,,,,0.0181,0.0251,36.6198,0.0315
2021-12-29 09:59:41:7949613 PM,33.443,,,,0.0152,0.0255,34.6737,0.0355
2021-12-29 09:59:41:9183662 PM,83.6167,,,,0.0163,0.0289,84.8524,0.0323
2021-12-29 09:59:41:9980636 PM,35.1332,,,,0.0178,0.0274,36.4617,0.041
2021-12-29 09:59:42:0750240 PM,36.502,,,,0.0162,0.0184,37.7478,0.0332
2021-12-29 09:59:42:1533492 PM,35.35,,,,0.0145,0.0237,36.6821,0.0315
2021-12-29 09:59:42:2748716 PM,33.7435,,,,0.0182,0.0201,72.0618,0.0339
2021-12-29 09:59:42:3559207 PM,35.4608,,,,0.0153,0.0189,36.7888,0.0412
2021-12-29 09:59:42:4315793 PM,37.1019,,,,0.0178,0.0293,38.5322,0.0547
2021-12-29 09:59:42:5097477 PM,34.8169,,,,0.0149,0.0196,35.7317,0.0318
2021-12-29 09:59:42:5874758 PM,34.4817,,,,0.0152,0.0184,37.3483,0.0318
2021-12-29 09:59:42:6660965 PM,33.9598,,,,0.0149,0.0222,35.258,0.0325
2021-12-29 09:59:42:7277686 PM,32.8017,,,,0.0151,0.0191,34.0869,0.0314
2021-12-29 09:59:42:8059873 PM,33.9255,,,,0.0152,0.0228,35.4134,0.0488
2021-12-29 09:59:42:8831156 PM,33.1577,,,,0.0172,0.0262,34.5405,0.0384
2021-12-29 09:59:42:9618849 PM,34.7829,,,,0.016,0.024,36.3018,0.0353
2021-12-29 09:59:43:0398198 PM,34.9066,,,,0.0174,0.0211,40.5287,0.0693
2021-12-29 09:59:43:1328250 PM,36.453,,,,0.0232,0.031,41.7564,0.0462
2021-12-29 09:59:43:2074676 PM,33.8774,,,,0.0173,0.0304,35.4259,0.0368
2021-12-29 09:59:43:3019288 PM,38.3802,,,,0.0168,0.0323,40.9013,0.0694
2021-12-29 09:59:43:3955897 PM,34.6766,,,,0.0321,0.024,40.2244,0.0484
2021-12-29 09:59:43:4863309 PM,38.1792,,,,0.0177,0.0252,39.7354,0.0383
2021-12-29 09:59:43:5948067 PM,37.5587,,,,0.0213,0.0299,42.4472,0.0604
2021-12-29 09:59:43:6853464 PM,36.6834,,,,0.0172,0.0261,38.2827,0.0344
2021-12-29 09:59:43:7624365 PM,32.8324,,,,0.0264,0.0241,36.032,0.0433
2021-12-29 09:59:43:8523805 PM,42.1324,,,,0.0242,0.0313,44.1592,0.0538
2021-12-29 09:59:43:9458975 PM,35.5193,,,,0.0163,0.0205,37.1512,0.0419
2021-12-29 09:59:44:0545762 PM,59.0734,,,,0.0178,0.0217,60.9569,0.0386
2021-12-29 09:59:44:1429948 PM,37.3643,,,,0.0169,0.0223,41.6686,0.0297
2021-12-29 09:59:44:2236002 PM,40.9431,,,,0.0154,0.0232,42.2108,0.0426
2021-12-29 09:59:44:3166922 PM,36.5366,,,,0.0173,0.0427,38.4096,0.0542
2021-12-29 09:59:44:4063078 PM,42.3145,,,,0.0167,0.0346,44.4424,0.1708
2021-12-29 09:59:44:5017668 PM,38.1075,,,,0.0262,0.0213,39.9941,0.041
2021-12-29 09:59:44:5758098 PM,36.0843,,,,0.0172,0.0245,37.4479,0.0313
2021-12-29 09:59:44:6967459 PM,49.6123,,,,0.0197,0.029,74.0703,0.0442
2021-12-29 09:59:44:7746801 PM,33.1348,,,,0.0143,0.0286,36.1906,0.7107
2021-12-29 09:59:44:9771096 PM,159.6196,24.4352,26.9208,62.4613,0.0186,0.035,163.443,0.0448
2021-12-29 09:59:45:0662207 PM,39.5907,,,,0.0195,0.0202,41.6681,0.0363
2021-12-29 09:59:45:1460620 PM,41.0779,,,,0.0162,0.0209,42.5662,0.0343
2021-12-29 09:59:45:2249134 PM,38.8473,,,,0.0268,0.0219,42.6771,0.0346
2021-12-29 09:59:45:3005090 PM,38.7551,,,,0.0248,0.0234,40.165,0.0344
2021-12-29 09:59:45:4105176 PM,63.6331,,,,0.017,0.0364,65.3374,0.0405
2021-12-29 09:59:45:4895414 PM,38.9322,,,,0.0173,0.0287,40.2008,0.0312
2021-12-29 09:59:45:5820306 PM,41.113,,,,0.0159,0.0234,44.3933,0.0285
2021-12-29 09:59:45:6591798 PM,36.0403,,,,0.0162,0.0187,39.1787,0.5111
2021-12-29 09:59:45:7363577 PM,35.2128,,,,0.0165,0.0187,36.5717,0.0296
2021-12-29 09:59:45:8017974 PM,37.0852,,,,0.0141,0.0208,38.1303,0.0283
2021-12-29 09:59:45:8914223 PM,36.3679,,,,0.0159,0.0218,40.6078,0.0358
2021-12-29 09:59:46:0005503 PM,38.7987,,,,0.0138,0.0191,70.2404,0.0385
2021-12-29 09:59:46:0770344 PM,40.4504,,,,0.0138,0.0189,41.7662,0.8184
2021-12-29 09:59:46:1547720 PM,37.8571,,,,0.0165,0.0243,39.543,0.0307
2021-12-29 09:59:46:2336581 PM,45.6736,,,,0.0143,0.0211,47.5052,0.0341
2021-12-29 09:59:46:3134491 PM,39.0374,,,,0.0148,0.0196,40.2691,0.0388
2021-12-29 09:59:46:3928587 PM,37.5953,,,,0.015,0.0188,40.5807,0.0326
2021-12-29 09:59:46:4550847 PM,32.2089,,,,0.0171,0.0194,36.4165,0.0295
2021-12-29 09:59:46:5351495 PM,35.2938,,,,0.0172,0.0186,38.1528,0.0289
2021-12-29 09:59:46:6135463 PM,39.387,,,,0.0134,0.0193,41.9333,0.034
2021-12-29 09:59:46:7041412 PM,39.1812,,,,0.0147,0.0264,42.0072,0.041
2021-12-29 09:59:46:7694082 PM,33.0037,,,,0.0198,0.0187,36.371,0.0313
2021-12-29 09:59:46:8500866 PM,34.1799,,,,0.0212,0.0219,38.4261,0.0307
2021-12-29 09:59:46:9251457 PM,40.0512,,,,0.0136,0.0345,43.4508,0.0477
2021-12-29 09:59:47:0048310 PM,40.4108,,,,0.0145,0.0573,43.3121,0.0321
2021-12-29 09:59:47:0847675 PM,36.7463,,,,0.0159,0.0213,39.5494,0.0307
2021-12-29 09:59:47:1618140 PM,39.1195,,,,0.0141,0.0192,41.8597,0.0304
