Time,Sign,Request,Resolution,Connect,Handshake,RequestHeaders,ResponseHeaders,Get,ResponseRead
2022-02-03 11:41:24:7584037 PM,0.6307,39.296,,,,0.0124,0.0176,39.3298,0.0034
2022-02-03 11:41:24:8355821 PM,2.6724,32.7255,,,,0.0121,0.019,32.7599,0.0325
2022-02-03 11:41:24:8981878 PM,0.819,34.0814,,,,0.012,0.0187,34.1153,0.003
2022-02-03 11:41:24:9631743 PM,0.9495,33.19,,,,0.0116,0.017,33.2265,0.0028
2022-02-03 11:41:25:0422881 PM,0.7224,32.3983,,,,0.0116,0.0184,32.4321,0.0028
2022-02-03 11:41:25:1026286 PM,0.7874,31.2458,,,,0.013,0.0197,31.2837,0.012
2022-02-03 11:41:25:1824178 PM,0.8647,31.93,,,,0.0147,0.0194,31.969,0.0028
2022-02-03 11:41:25:2615542 PM,0.7801,36.7454,,,,0.0129,0.0223,36.787,0.0026
2022-02-03 11:41:25:3543085 PM,1.109,50.3333,,,,0.0124,0.0197,50.3724,0.0032
2022-02-03 11:41:25:4310630 PM,0.9244,33.1651,,,,0.0116,0.0195,33.2173,0.0048
2022-02-03 11:41:25:5081166 PM,0.678,34.2034,,,,0.0124,0.0184,34.2364,0.0033
2022-02-03 11:41:25:6621782 PM,0.9759,110.7887,,,,0.0138,0.019,110.8306,0.0052
2022-02-03 11:41:25:7404441 PM,0.8915,32.6113,,,,0.0136,0.0186,32.6468,0.0026
2022-02-03 11:41:25:8171050 PM,1.0515,31.3127,,,,0.0118,0.0188,33.0802,0.003
2022-02-03 11:41:25:8947963 PM,0.725,32.3047,,,,0.013,0.0182,32.3426,0.0028
2022-02-03 11:41:25:9583317 PM,0.7971,31.5979,,,,0.0126,0.0208,31.6378,0.0043
2022-02-03 11:41:26:0220930 PM,0.6613,31.852,,,,0.0121,0.0237,31.8858,0.0033
2022-02-03 11:41:26:1002077 PM,0.8105,33.0043,,,,0.0117,0.0188,33.0461,0.0049
2022-02-03 11:41:26:1759193 PM,0.6358,36.05,,,,0.012,0.0187,36.0845,0.0027
2022-02-03 11:41:26:2558103 PM,0.7139,35.2928,,,,0.0127,0.0179,35.3266,0.0025
2022-02-03 11:41:26:3328924 PM,0.7037,43.4815,,,,0.0125,0.0188,43.5245,0.0029
2022-02-03 11:41:26:4115656 PM,0.6487,36.2713,,,,0.0121,0.0771,36.3471,0.0119
2022-02-03 11:41:26:4880608 PM,0.7364,34.4118,,,,0.012,0.0227,34.4453,0.003
2022-02-03 11:41:26:5491785 PM,0.6558,33.565,,,,0.0122,0.0212,33.6044,0.0081
